condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.1,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,35.2,35.2,31.95,29.200000000000003,1.8265370483398438,1.9506386108398435,6,1.7294130000227597,48,False,0.8148857901493708,0.01366651120285193,0.0,0.0,4.166666666666667
clean,output,0.1,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.3,34.3,31.75,29.099999999999998,1.8326791381835938,1.9532681274414063,6,1.5486414580082055,48,False,0.8032844463984171,0.02852874982636422,0.027035042371911306,0.0,5.759586999192834
clean,output,0.1,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.0,28.3,27.8,24.5,1.925483154296875,2.051789774576823,4,1.5230905000062194,48,False,0.7896813750267029,0.03148254270975789,0.029866989003494382,0.0,3.1489674312373004
clean,tensor,0.1,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,28.3,26.4,26.2,24.733333333333334,1.9207621459960937,2.0433702392578126,5,1.5620785829960369,48,False,0.8020978247125944,0.01822819789716353,0.0,0.0,0.7113821183641752
clean,tensor,0.1,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,27.1,26.1,25.5,21.983333333333334,1.9814877319335937,2.145355682373047,4,1.5551574999990407,48,False,0.7916791165868441,0.020034119836054742,0.0,0.0,1.8292682866255443
clean,output,0.1,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,27.5,27.5,27.0,22.2,1.94557177734375,2.144836181640625,6,1.5484166250098497,48,False,0.7797027925650278,0.03438526943015555,0.03235727509794136,0.0,3.1268437082568803
noise20,output,0.1,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,32.6,32.4,30.0,27.71666666666667,1.91906201171875,2.0216236572265625,5,1.5517766670091078,48,False,0.8008112534880638,0.028002777330887813,0.026431091071572155,0.0,5.302359908819199
noise20,tensor,0.1,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,32.8,32.7,29.15,27.683333333333334,1.9144691162109375,2.020171152750651,4,1.5363757500017527,48,False,0.8118623793125153,0.012929028661649985,0.0,0.0,4.166666666666667
noise20,tensor,0.1,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.5,28.0,26.5,23.2,1.9740709228515625,2.095021525065104,5,1.5928566250076983,48,False,0.802925835053126,0.017742678988724947,0.0,0.0,0.30487803742289543
noise20,output,0.1,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,29.7,27.8,25.0,23.099999999999998,1.9830732421875,2.101095235188802,4,1.5379004169953987,48,False,0.7881627107659975,0.03191954370898505,0.029887285083532333,0.0,2.743362790594498
